geneID	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000000001	0.0152388531527762	0.0104292950252973	0.0468659605410532	0.0166397214639102	0.0474880400735531	0.0416919755772578
ENSMUSG00000000085	-0.00424227642712771	0.0189777843485688	0.0138270308803736	0.0484828253140497	0.0174630525914244	0.0425435195616413
ENSMUSG00000000093	-0.199903886169597	-0.195318732959912	0.0545336004367447	0.130002556322099	0.28247844715697	0.363353554223339
ENSMUSG00000000148	0.00753068772842168	0.033893918550989	0.0954469304041212	0.0702910939247807	0.0697680075422026	0.0487934158892579
ENSMUSG00000000149	0.0533911127992252	0.0848747762001637	0.105484323695834	0.117380720843354	0.12956065803145	0.122666839071841
ENSMUSG00000000167	-0.0413299821125394	-0.117026015499189	-0.199439227656336	-0.295969354680539	-0.28147578233502	-0.385495883802998
ENSMUSG00000000168	-0.00504776385556058	-0.0118862930607248	-0.00375949414163021	-0.0473939905111813	-0.0492187240637503	-0.0790467525190557
ENSMUSG00000000171	-0.00376439601020585	0.00946694944573302	-0.0518123163461656	-0.00247732229836359	-0.0349034168903451	-0.0824452416563971
ENSMUSG00000000184	0.0676966064423803	-0.0715640245008462	-0.190706210772287	-0.260100996451151	-0.352685527792956	-0.345031584626048
ENSMUSG00000000194	0.0333891505287843	0.0462084509218675	0.0523969806714173	0.0979685886817658	0.082773903094989	0.12559931777095
ENSMUSG00000000290	-0.0352933137141772	0.0179514519189724	0.0804171224614957	0.0869420833018818	0.0525557269920021	0.0565064088977179
ENSMUSG00000000308	0.465247488640273	0.356954024057546	0.0513233329906807	-0.11798244022293	-0.597359890697162	-0.649596320931663
ENSMUSG00000000339	-0.0099930274866515	0.00165268909703153	0.0106092861229594	-0.00819520564950922	-0.0363316156823266	-0.0386163683327168
ENSMUSG00000000355	-0.0340081919331308	-0.0241234401804995	-0.00825155957314939	-0.0608283294171776	-0.0617222379707815	-0.0428849517212374
ENSMUSG00000000374	0.0196288374145446	0.00790254583437545	-0.00014901643419363	0.0587212136766123	0.0703762264863113	0.0470126844739193
ENSMUSG00000000384	-0.0148523163088056	-0.0223638726132178	-0.0482876814426611	-0.103038064874391	-0.163354333665584	-0.197600711887234
ENSMUSG00000000399	0.003370344666314	0.00869806154175649	-0.0201976891610858	0.0242300661058871	-0.018164724780078	-0.0665201982168713
ENSMUSG00000000409	0.0885644608366304	0.0114495688051716	-0.033175353887971	-0.0540293875584986	-0.0309394599472255	0.0120315225837025
ENSMUSG00000000439	0.0268768719646781	0.0427185937524704	0.0872766126723305	0.00628526422601147	0.0399793909697496	0.0229744737817431
ENSMUSG00000000531	0.0273946560170438	0.0438963155910734	0.00750788191120253	0.163714928633855	0.246203305015277	0.266990472654094
ENSMUSG00000000532	0.0318207958143111	0.0402884513388946	0.0872518435367807	0.0410890341303575	0.0959424508357335	0.110391623195183
ENSMUSG00000000538	-0.0046834543217345	-0.000265115078349175	-0.0177664194189013	0.0088055075869386	0.00685448944799016	0.0160017423957895
ENSMUSG00000000561	-0.0111205186045509	-0.0362258519507603	-0.105650951197596	-0.103710406047572	-0.159343731681764	-0.171891042978486
ENSMUSG00000000562	-0.111796247993084	0.092497806231782	0.254945609363931	0.260977196643911	0.0724732308445942	0.14186526244555
ENSMUSG00000000563	-0.0037318256838004	-0.00318070506969514	-0.0217061481238578	0.0130791684952165	-0.0412298183861501	-0.0587983240649707
ENSMUSG00000000568	-0.0158988797782344	0.00751205867588194	0.0127315583212663	-0.0407432636766707	-0.0863411895186029	-0.0894143428860302
ENSMUSG00000000579	0.00421039454327877	0.0277910560426253	0.0445753193248866	0.124682632383124	0.157425861088276	0.2157913350755
ENSMUSG00000000594	0.131469699549572	0.152013689636098	0.223563336756626	0.3795428063364	0.426085311686033	0.350759774082665
ENSMUSG00000000628	0.0163846407211869	-0.0514600695849426	-0.00957045271779283	-0.163839743958204	-0.269638406053769	-0.311934431465197
ENSMUSG00000000631	0.0160334396875618	-0.0814878239748389	-0.148284674191627	-0.0953869557454536	-0.049502489399261	-0.0632735416009925
ENSMUSG00000000686	-0.022268790168495	-0.126498224055686	-0.0319574020334129	-0.17336712959556	0.00421985450647039	0.1446369388574
ENSMUSG00000000693	-0.19486645763443	-0.0604193104736059	-0.0338808233753621	-0.0942198659717441	-0.127347393584078	-0.0607153162859949
ENSMUSG00000000738	-0.0413637352056713	-0.0175473205009846	0.00752291515240509	0.00865911556649048	-0.0109155715514852	0.00504495503182769
ENSMUSG00000000740	-0.0202299013296229	-0.0226184033819915	0.00392057975554448	-0.0361630003330997	-0.0181477639034789	0.0108989487115592
ENSMUSG00000000751	0.0145156418528116	0.0186008176775856	0.0593555001725036	0.029029844409507	0.0286521964098792	-0.0242503691084557
