#Gene name	I/C_0h	I/C_2h	I/C_6h	I/C_12h	I/C_18h	I/C_24h
ENSMUSG00000026571	0.493212593	0.061970874	0.00169319	-0.176984787	-0.059297466	-0.110080496
ENSMUSG00000040749	0.409743096	-0.109049489	0.007914185	-0.076761863	-0.28189086	-0.038332985
ENSMUSG00000026577	0.348284878	-0.033273026	0.06574813	-0.161511999	-0.189071651	-0.107665672
ENSMUSG00000023055	0.535816472	0.263965797	0.355500996	0.431341448	0.527283033	0.589736805
ENSMUSG00000085156	0.376199882	-0.075359488	0.073418039	-0.211508858	-0.27396882	-0.209242603
ENSMUSG00000026578	0.375231634	-0.369720274	-0.14622082	-0.54897571	-0.258795183	-0.469935724
ENSMUSG00000040746	0.377706953	-0.0838731	-0.100013802	-0.358280774	-0.231296878	-0.302974361
ENSMUSG00000024042	1.258145381	0.281934792	0.167859261	-0.198291704	0.216779161	0.056566983
ENSMUSG00000073664	0.776585839	0.145264186	0.31473728	0.022659345	0.107940082	0.153056984
ENSMUSG00000056167	0.321622645	0.143893532	-0.092286982	-0.00574366	-0.045837215	0.013448949
ENSMUSG00000030729	0.525736223	0.144262862	0.106403133	-0.126070557	-0.206691522	-0.103536813
ENSMUSG00000097277	-0.03882618	-0.050480015	-0.115566295	0.053832053	0.065979479	0.020816194
ENSMUSG00000022671	0.375288587	-0.009402498	-0.062528166	-0.102317078	-0.102376328	-0.071425642
ENSMUSG00000009640	-0.108986441	-0.077563899	-0.006250165	-0.099923164	-0.09408229	-0.10684874
ENSMUSG00000009647	0.317786672	-0.013469462	0.03583156	-0.17967415	-0.21609072	-0.194757308
ENSMUSG00000022674	0.432879093	-0.059088228	0.160146939	-0.39880153	-0.237665336	-0.294941876
ENSMUSG00000022679	0.36644541	-0.120424987	0.142265941	-0.091811459	0.056665396	-0.007436327
ENSMUSG00000022678	0.674106502	0.113279567	0.081914863	-0.142663778	-0.03198454	-0.102122965
ENSMUSG00000003316	0.484664577	0.138594621	0.314030826	-0.021417089	-0.085124819	0.00893771
ENSMUSG00000003644	1.09697233375	0.30443884625	0.13283992225	-0.54111288625	0.1571994225	-0.34258500725
ENSMUSG00000057342	0.447429282667	-0.0618935973333	0.238413214667	-0.291989577	-0.0342868736667	-0.201104896333
ENSMUSG00000058192	0.403191341	-0.103774929	0.069031157	-0.295554873	-0.202727768	-0.21330906
ENSMUSG00000012483	0.528403431	-0.082874967	-0.268029991	-0.468958512	-0.234960409	-0.373705128
ENSMUSG00000025279	-1.197205409	-0.415786017	-0.704255013	-0.018234083	-0.112966678	-0.101570854
ENSMUSG00000025271	0.838037429	-0.152323863	0.337854374	-0.386357435	-0.106835335	-0.219662346
ENSMUSG00000025907	0.8309885	0.279779002	0.302008828	-0.004886838	0.212044726	0.132911452
ENSMUSG00000061510	0.399554284	0.157898389	-0.134029905	-0.100246962	-0.252909181	-0.136190465
ENSMUSG00000046295	0.633017848	0.239338461	0.458873277	-0.250503898	0.062907917	-0.137506112
ENSMUSG00000061518	0.07789044	0.162166703	-0.066203994	0.009248673	-0.011636736	0.049837031
ENSMUSG00000054226	0.692422016	-0.116637625	0.298391873	-0.267158758	-0.149766023	-0.179371383
ENSMUSG00000029598	1.216013451	0.138583277	0.40964983	-0.193281069	0.419230221	0.06382224
ENSMUSG00000029591	0.68250135	0.006186643	-0.04106632	-0.396813841	-0.290002619	-0.332339931
ENSMUSG00000029592	0.731807956	0.056104406	0.163917447	-0.179943959	-0.09397398	-0.054164324
ENSMUSG00000029594	0.823232529	0.270547125	0.582495746	0.035869454	0.450035007	0.261215715
ENSMUSG00000047213	0.937579343	0.10174749	0.337360344	-0.139833708	-0.005539738	0.011447616
ENSMUSG00000047215	0.436924425	0.080203866	0.25344416	0.041976771	-0.016446525	0.09393
ENSMUSG00000095589	-0.226680676	-0.485870905	-0.336881837	-0.068835303	-0.202773693	-0.180176661
ENSMUSG00000036964	0.056702222	-0.0031923	-0.084745029	0.029864593	-0.11003707	0.002220078
ENSMUSG00000036966	1.206626046	0.343076942	0.737595732	0.11026724	0.342359907	0.333538488
ENSMUSG00000042605	1.049282553	0.116591868	0.234069653	-0.259516225	0.375452629	-0.035747401
ENSMUSG00000005034	1.182737949	0.229301537	0.481936549	0.182130799	0.153002325	0.277445499
ENSMUSG00000036968	0.338322868	0.325011072	0.590127353	0.400433158	0.342311135	0.462244799
ENSMUSG00000069539	0.462476404	-0.060728872	-0.065293637	-0.058384383	-0.153401373	-0.034960151
ENSMUSG00000045929	0.065997994	0.020836017	-0.379069844	-0.094804905	-0.230090739	-0.110811945
ENSMUSG00000002064	0.277562721	0.020001687	0.125811273	-0.144488702	-0.107311465	-0.103957043
ENSMUSG00000002068	1.476824946	0.242996077	0.610201619	-0.190147902	0.185396447	0.094111221
ENSMUSG00000043510	0.19916255	-0.229013193	-0.309851922	-0.322841442	-0.277108267	-0.27199838
ENSMUSG00000046032	0.832906407	-0.007968603	0.382694691	-0.157843915	0.23583878	0.048887239
ENSMUSG00000046034	0.406654913	0.146631092	0.293559006	-0.168981054	-0.08450724	-0.080018923
ENSMUSG00000049922	0.152341335	0.172699613	0.335207055	0.115788971	0.122447663	0.146446278
ENSMUSG00000035575	0.161900087	-0.195386756	-0.187995577	-0.32700521	-0.500987855	-0.347848816
ENSMUSG00000076550	-0.683942872	-0.470339676	-0.07806288	0.225802354	-0.113358581	0.128275476
