Gene name	Ikaros/Control_0h	Ikaros/Control_2h	Ikaros/Control_6h	Ikaros/Control_12h	Ikaros/Control_18h	Ikaros/Control_24h
ENSMUSG00000002010	0.109466283113	-0.0265964469734	-0.0487203129374	-0.0784791942021	-0.0815813722744	-0.0742724112086
ENSMUSG00000002015	0.190227588012	-0.0374148377652	-0.0194017307117	-0.0805847970115	-0.0613301915656	-0.063121582558
ENSMUSG00000002014	0.109466283113	-0.0265964469734	-0.0487203129374	-0.0784791942021	-0.0815813722744	-0.0742724112086
ENSMUSG00000028189	0.059341350162	-0.0806899076798	0.0211460965504	-0.0488346837753	-0.0189660328434	-0.0323550893061
ENSMUSG00000028188	0.265852820997	0.0791898681316	0.215676209433	0.0972263526382	0.120044169545	0.126083733907
ENSMUSG00000053218	0.0969347811941	0.0404144502764	0.0982528738342	0.016778120945	0.036336824294	0.0396505915314
ENSMUSG00000083012	0.246215755586	0.00562339083102	0.109051829346	-0.00376000129497	0.0404762409138	0.0415133318196
ENSMUSG00000046020	0.253729312423	0.0289141458501	0.105549720308	-0.0558837434032	-0.0361445213333	-0.013816034717
ENSMUSG00000046753	0.0350786041371	-0.0461683619055	-0.0398568651523	-0.0575920367825	-0.110124011513	-0.080918729808
ENSMUSG00000046027	0.126405737157	0.103423150548	0.111419665862	0.0808404010888	0.105047429184	0.117703494725
ENSMUSG00000046756	0.223282684622	0.116214798571	0.149045728351	-0.0253185900497	0.101065348765	0.0292562745939
ENSMUSG00000043505	0.0253136574821	-0.0561297551855	-0.0491736015717	-0.0985212786099	-0.149908763073	-0.154138296075
ENSMUSG00000035139	0.175334444622	0.0151943139412	0.0762409552299	-0.0362932083202	0.00366921051859	-0.00650002940041
ENSMUSG00000070074	0.185057503198	-0.0592942437381	0.0317023129268	-0.074697374559	-0.000522327591459	-0.0414628619884
ENSMUSG00000075555	0.040402507165	-0.0664786885432	-0.0521208384624	-0.0450522242398	-0.0493335233617	-0.0626376330511
ENSMUSG00000069830	0.159430699407	0.0818499626547	0.0412168989909	-0.0769817931942	-0.118174839978	-0.10310605711
ENSMUSG00000033863	0.0513062306986	-0.0335352921072	-0.0139970745408	-0.0554131660936	-0.01500141149	-0.0462374421735
ENSMUSG00000032217	0.301585321391	0.0720547984486	0.196142009609	-0.0285001967106	0.0947420946991	0.0446340091992
ENSMUSG00000066415	-0.0940716146942	-0.0234052558615	0.0577616750982	0.0405338284078	0.0212339292014	0.020325801701
ENSMUSG00000044533	0.140658101309	0.0198855230934	-0.0309783215878	-0.0358647883272	-0.0398352597074	-0.0302992411517
ENSMUSG00000035198	0.144323487057	-0.0110136262523	0.0185089329157	-0.0596095227599	-0.0300587520166	-0.039497623596
ENSMUSG00000019916	0.161357084323	-0.00101172294966	0.0283575067986	-0.0617435727214	-0.0334274992925	-0.0403688734366
