gen	0_Ik	2_Ik	6_Ik	12_Ik	18_Ik	24_Ik
ENSMUSG00000006731	0.747381557	0.98444956	0.911784055	1.017122654	0.878652585	0.961949158
ENSMUSG00000006731	0.692063939	1.304393895	1.117477073	1.174303786	0.917011654	0.962269731
ENSMUSG00000040441	0.909711811	1.005547567	1.312518279	0.982745801	0.916870044	0.853627206
ENSMUSG00000040441	0.8453012	1.052251653	0.900573825	0.673530019	1.033780111	0.623513388
ENSMUSG00000019467	0.923536136	0.863573429	0.796461198	0.900473799	0.944926378	0.975298539
ENSMUSG00000019467	0.722746556	0.796211822	0.886626646	0.942432826	1.045314967	1.052251562
ENSMUSG00000019467	0.774862399	0.967421118	1.066874439	1.238686083	1.143585665	1.402376106
ENSMUSG00000040415	1.070398807	1.032927756	0.97488497	0.974956866	0.878939733	0.90690711
ENSMUSG00000040415	1.413182424	1.13781188	1.145437688	1.138480673	0.841841797	0.951685911
ENSMUSG00000025417	1.472560189	0.746222361	1.119392776	0.846283233	0.887179484	0.932539517
ENSMUSG00000025417	1.110215546	1.057387986	1.129395993	1.028521701	1.029855726	1.000560411
ENSMUSG00000074657	1.028735282	1.057514676	1.05810412	1.046362509	1.023062193	1.033475915
ENSMUSG00000074657	0.807442436	0.971365756	0.959750785	0.937257972	1.128654679	1.041619828
ENSMUSG00000074657	0.77862354	0.841822901	1.362396614	0.926015529	1.14444435	0.946615633
ENSMUSG00000025410	1.039708066	0.964802083	0.939711451	0.975029178	0.959105162	0.974401853
ENSMUSG00000025410	0.773259165	0.694300168	1.311906901	0.736891589	0.888226338	0.646077387
ENSMUSG00000025410	0.844014354	0.937634085	0.881287219	0.914720552	0.97353631	1.00157883
ENSMUSG00000025409	0.771633991	1.236794371	1.124052706	0.909706388	0.983073768	0.788895396
ENSMUSG00000025409	1.15253113	0.823147873	0.924331096	1.040842222	0.894849516	1.060052152
ENSMUSG00000092593	1.041201522	0.998877432	0.997558505	0.992811626	0.985123684	0.984914771
ENSMUSG00000040354	0.992150839	1.081001783	1.078580084	0.844710005	0.939503955	0.762440297
ENSMUSG00000040354	1.090304629	0.85578055	1.00370907	0.890955739	1.026352129	0.993159107
ENSMUSG00000040354	1.021917864	0.849888651	1.03968362	0.853688723	1.062464335	0.942037743
ENSMUSG00000040354	1.227625394	0.938843939	1.133866602	1.109875733	0.922032716	1.024333008
ENSMUSG00000040354	0.978630059	0.989552705	1.000303104	1.025476881	1.004090427	1.025808621
ENSMUSG00000040345	1.021580796	1.136084945	1.042834866	1.016675181	0.996736373	0.971233674
ENSMUSG00000047492	0.906115488	0.963088414	0.979681834	0.846860755	0.975083454	0.767662827
ENSMUSG00000025404	1.156279364	1.089677928	1.077979186	1.04011654	1.030096631	0.984443116
ENSMUSG00000025404	1.186319489	1.005118749	0.664263604	0.933215896	0.860815929	0.957628748
ENSMUSG00000040287	1.102566754	1.967185375	0.978244499	1.081842727	1.172875265	0.957410444
ENSMUSG00000025403	0.964915868	1.024449295	0.992795813	0.964459757	0.999622933	0.961585374
ENSMUSG00000040258	1.068139891	0.985991327	0.948102559	0.853870024	0.888228829	0.797347291
ENSMUSG00000040249	0.664130967	1.050527722	1.018905411	0.97039806	1.098558066	0.973621024
ENSMUSG00000040249	1.018850879	1.120372319	0.981771892	1.152654402	0.938519051	1.060838772
ENSMUSG00000040249	0.967746638	0.895846787	1.599210219	1.028143499	1.086879829	0.939992021
ENSMUSG00000040249	0.91203525	0.934065315	1.220246937	1.023413133	0.947237142	0.916375621
ENSMUSG00000040249	0.667607374	0.89724216	0.879697444	0.802486869	1.040157346	0.818041068
ENSMUSG00000040249	0.969089234	0.971134578	0.995095918	0.959083003	1.02843538	0.981460184
ENSMUSG00000040249	1.184441024	0.981628913	1.23899294	0.931218217	1.07025103	0.849230892
ENSMUSG00000040249	0.830664849	0.992394568	0.954937976	1.074515499	1.016293746	1.069947241
ENSMUSG00000040249	0.840125251	0.848857547	0.902255714	0.768625052	0.998405553	0.842568795
ENSMUSG00000040249	0.484604552	0.967103542	0.95661757	0.883489615	1.018788739	0.857360892
ENSMUSG00000002147	0.996736148	1.025724204	0.992070832	0.992359268	0.985043034	0.978652545
ENSMUSG00000002147	0.678177135	0.85549236	0.739441925	0.876795084	0.699951014	0.838843042
ENSMUSG00000025402	1.121050905	1.074627128	0.843406577	0.948545355	0.866460125	0.86388334
ENSMUSG00000025402	1.030337956	1.009587982	1.000079928	0.995150945	0.954595196	0.969957107
ENSMUSG00000087163	1.012395115	1.032517984	0.983797534	0.958350458	0.924777025	0.860994219
ENSMUSG00000040195	1.016830052	1.025757487	0.994326093	1.019532024	1.020984452	1.027448241
ENSMUSG00000025401	1.367113338	0.87831241	0.822243195	0.88713655	1.07879024	1.033280748
ENSMUSG00000025401	0.939505917	0.997221987	0.957892094	1.181137289	1.154557039	1.352625369
ENSMUSG00000025400	1.152500455	1.125016387	1.122500763	1.300815698	0.98086842	1.215560236
ENSMUSG00000044617	1.171893837	1.12030144	1.140257901	1.062165852	0.99346158	0.942751828
ENSMUSG00000056148	0.670719821	1.062924427	0.888453876	1.017057223	0.945139244	1.011383703
ENSMUSG00000054031	1.12262793	1.070128048	0.858001857	0.649359984	1.088556128	0.712898468
ENSMUSG00000074639	0.899156068	1.476337895	1.217857851	1.228016643	1.166010379	1.096926305
ENSMUSG00000040127	0.754726576	1.12804935	0.939392742	0.971933831	0.989348597	0.958217908
ENSMUSG00000025395	0.962236707	0.991250537	1.015725291	1.012470018	1.017719585	1.020941942
ENSMUSG00000025395	0.895104133	1.180574125	0.728748021	1.024240633	1.011932602	1.087154402
ENSMUSG00000025395	1.417765383	0.908323387	0.919835306	0.984030551	1.052000521	1.195559145
ENSMUSG00000061315	1.010863519	1.005098	1.020713956	1.017837811	1.015927108	1.019946422
ENSMUSG00000071072	1.064224503	1.022410731	1.004271612	0.993525753	0.98848522	0.979194051
ENSMUSG00000025393	0.997087513	0.948078111	0.977961994	0.98962505	0.970293731	0.992893819
ENSMUSG00000040054	1.033442431	1.043586544	1.03024947	1.015071797	0.982525333	0.989865563
ENSMUSG00000040054	1.094946361	1.137330032	1.103832462	1.054784667	1.07301995	1.031477267
ENSMUSG00000040054	1.758235316	0.821536353	0.897684585	1.134610885	1.035359146	1.393080335
ENSMUSG00000040043	1.006373278	1.105497334	1.070843419	1.034041893	1.031552736	0.992059598
ENSMUSG00000044005	1.186564684	1.045670346	1.057331294	0.973778424	0.929809788	0.884538953
ENSMUSG00000044005	0.905427902	1.330401181	0.918405171	0.881891445	1.002489457	0.819848855
ENSMUSG00000044005	0.983069891	0.924541781	0.956081245	1.12299761	1.138881022	1.269027057
ENSMUSG00000044005	0.989896772	1.078221597	0.98772809	0.979739719	0.901677822	0.876889641
ENSMUSG00000051346	1.030915218	1.011221558	1.016238548	1.013546326	1.007228937	1.019103004
ENSMUSG00000025389	0.903431022	0.900129877	1.305716111	0.915174249	1.089036574	0.919504376
ENSMUSG00000025389	0.856259636	1.088744434	0.948651112	0.874294575	0.802807088	0.764497735
ENSMUSG00000039994	0.943583331	1.727657618	0.909973557	1.144075432	0.920907317	0.95872362
ENSMUSG00000039994	1.255234068	1.806677159	1.293533357	1.213541021	1.181367236	1.048509185
ENSMUSG00000051716	0.750386053	0.865426939	0.687183301	0.673056478	0.823033778	0.656839466
ENSMUSG00000047631	0.741586578	0.880791515	0.856010691	0.887378555	0.875405307	0.768618922
ENSMUSG00000040033	1.090756268	1.127554002	0.963591647	1.149188278	0.863074348	1.022245708
ENSMUSG00000040033	1.037054101	0.568405914	1.069225608	0.807496487	0.875578687	0.924433873
ENSMUSG00000005682	1.003989391	1.010497945	0.991238685	0.979609838	0.988917472	0.977401981
ENSMUSG00000005682	0.973205322	1.001224861	0.983291735	1.014530924	0.972021098	0.985749071
ENSMUSG00000025381	0.971351499	0.969548263	0.904386052	0.947657666	0.904290506	0.908939376
ENSMUSG00000005683	0.963849957	1.014430625	0.995972874	0.998612148	1.0030452	0.994218295
ENSMUSG00000005683	0.900739964	0.789650346	0.922775444	0.969283309	0.828067535	0.95375368
ENSMUSG00000039914	0.996585434	1.017434203	0.980211117	1.009267184	0.975454559	0.985449311
ENSMUSG00000014498	1.079755431	1.096951894	1.104942855	1.020024952	1.01207378	0.974325496
ENSMUSG00000039878	0.990745252	1.075077955	0.924406935	1.014198676	0.708118395	0.844671219
ENSMUSG00000039878	0.966226288	0.967308627	0.973040136	1.011047998	1.030092864	1.060178395
ENSMUSG00000025374	0.995703625	0.981592853	0.984586815	0.989087097	0.973506139	0.976654212
ENSMUSG00000025369	1.077039078	1.070247631	1.027552418	0.986516811	0.973195326	0.935653322
ENSMUSG00000090841	0.987926769	1.010967468	0.975856933	0.975981608	0.973847313	0.961753175
ENSMUSG00000039824	0.868960686	1.209766116	0.889213548	1.017602563	0.85057917	0.892552817
ENSMUSG00000039824	1.015376407	1.005895096	0.975929011	0.993628974	1.010820489	1.006443109
ENSMUSG00000025366	1.273369233	0.865859935	0.922532916	0.887228954	0.912689329	0.889780827
ENSMUSG00000025366	0.984051873	0.980909057	0.976503365	0.995061627	0.964003755	0.985377284
ENSMUSG00000039810	0.987515358	1.010113811	0.987288639	1.025123615	1.011654241	1.027567845
ENSMUSG00000093674	1.011712371	0.984412386	0.993509021	1.016832582	1.015250305	1.030883611
ENSMUSG00000025364	1.031197717	0.974033552	0.99771302	0.985260088	0.991436471	0.983206958
ENSMUSG00000018166	0.935539713	1.032044741	0.750743033	0.831785535	0.982591248	0.907500137
ENSMUSG00000018166	0.92155148	1.050873159	0.9963954	1.054194544	0.997754225	1.009720437
ENSMUSG00000018166	1.179282236	0.766764295	0.920168694	1.040518728	1.05951031	1.22792155
ENSMUSG00000018166	0.997544022	0.914804054	0.983623782	0.882946835	0.95809976	0.847513264
ENSMUSG00000025362	0.985929735	0.996250027	0.990289462	1.013635404	1.044937984	1.043165323
ENSMUSG00000097372	0.872561225	0.99329742	1.020037744	0.968299299	1.077396802	0.976248365
ENSMUSG00000049858	1.007036087	1.058381716	1.059903209	1.041079202	1.026767786	1.032727264
ENSMUSG00000000711	1.021272645	0.970934062	0.989179012	0.995291837	0.998275879	1.007191483
ENSMUSG00000025358	1.013021653	1.098042734	1.012258848	1.012996557	1.014603339	0.987531354
ENSMUSG00000025359	1.136344687	1.054279195	1.151363736	1.054679308	0.969884995	0.97453184
ENSMUSG00000025357	1.038815467	1.091365877	0.848339936	0.96215733	0.853597444	0.865770166
ENSMUSG00000025357	1.13486957	1.130414741	1.199594819	1.138373121	1.033875388	1.055044131
ENSMUSG00000064030	1.049025419	1.018230137	1.012523256	1.001724747	1.014803964	1.005486912
ENSMUSG00000047090	0.651806932	0.918166129	0.971963732	0.950027765	0.991160804	0.938050081
ENSMUSG00000047090	1.0299276	1.041091796	1.035562749	1.02879705	1.029118614	1.027098381
ENSMUSG00000025354	0.793343572	1.176572959	0.902391518	0.915193641	0.877863545	0.72627171
ENSMUSG00000025353	1.004469299	0.949986276	0.948490066	0.967589413	0.976069961	0.979663504
ENSMUSG00000025350	1.071742295	1.255705191	0.966712028	1.315562446	1.303339344	1.492725314
ENSMUSG00000090247	1.014060058	1.034368503	1.04028115	1.031884044	0.977718058	0.994549961
ENSMUSG00000025348	1.056201465	1.010260881	0.789824444	0.829978904	0.963385009	0.926142386
ENSMUSG00000025348	0.95057568	0.980699107	1.073492774	1.092667855	0.839653258	0.95206477
ENSMUSG00000025348	1.086711062	1.039116361	0.855743233	1.027887949	1.074803078	1.125706349
ENSMUSG00000097691	1.055882444	0.954423509	0.975982466	0.976646508	0.942867598	0.950636187
ENSMUSG00000042801	0.897437964	1.119660464	1.220818427	0.919699931	1.309264804	0.969650185
ENSMUSG00000097378	1.372465667	0.876021724	0.869655126	0.88386799	0.835437011	0.841645746
ENSMUSG00000097378	1.013596515	0.971804552	0.939353389	0.960658372	0.953107331	0.953480484
ENSMUSG00000039232	1.015811547	1.007555458	1.01612469	1.023299533	0.977046337	0.999087347
ENSMUSG00000078348	0.987358435	0.988060911	1.013490984	1.018629577	1.037403666	1.035880109
ENSMUSG00000048015	1.078756758	1.128013317	0.88927845	1.071084216	1.038606759	1.058753004
ENSMUSG00000034833	1.118074003	0.912469058	1.076467293	1.090398492	0.960126361	1.056500047
ENSMUSG00000019815	0.893937185	0.856570531	1.062618478	0.928705462	1.072082248	0.953648965
ENSMUSG00000019814	1.018780259	1.00740894	1.0133498	1.007150612	1.010529698	1.008064644
ENSMUSG00000062866	0.980998211	1.32638833	0.763602546	0.946774455	1.022632133	0.915340937
ENSMUSG00000062866	1.063288037	1.496482933	0.814286709	0.960988893	1.149173367	1.013424414
ENSMUSG00000062866	0.996483923	1.111144432	1.02418497	1.026571977	1.001169534	0.99551629
ENSMUSG00000019810	1.094312479	1.032626401	0.983837512	1.008998243	0.968443281	0.993669858
ENSMUSG00000019810	1.015765777	0.985524444	0.973097246	0.981933878	0.947416384	0.958030843
ENSMUSG00000019809	1.023250769	1.046290762	0.994837114	1.010927173	1.016421291	1.013481951
ENSMUSG00000019806	1.252326293	0.857806396	1.194058026	1.188159878	1.116717016	1.340569242
ENSMUSG00000015501	1.238616933	1.048596565	1.249184801	1.014211578	0.89464032	0.884081839
ENSMUSG00000089333	1.062320099	1.751103143	1.001908642	1.174486595	0.906682918	0.910599221
ENSMUSG00000019868	1.022400901	1.018614883	0.981578769	1.010810728	1.015101391	1.017108111
ENSMUSG00000039910	1.022865096	1.006755349	0.997463608	1.004133921	0.982906969	0.995434278
ENSMUSG00000093672	1.052062994	1.018296685	0.967550025	1.023090682	1.004912395	1.048764308
ENSMUSG00000039879	1.069101414	1.016528132	1.026498396	0.998752707	1.028946926	0.984161774
ENSMUSG00000078453	1.025593276	0.991642306	1.048925322	1.032609457	1.01599985	1.032696917
ENSMUSG00000019854	0.597310974	0.93034024	0.783581742	0.939609415	1.082546128	0.997857785
ENSMUSG00000019854	0.694111166	1.049436854	1.154230145	1.276328218	1.084911837	1.164396265
ENSMUSG00000019854	0.889172967	1.06719919	0.960925361	1.044885216	1.118373718	1.170280383
ENSMUSG00000019854	0.512486006	1.128626346	1.279983182	1.232927259	1.045898273	1.026983306
ENSMUSG00000071392	1.131996461	1.221630303	1.089709639	1.156841436	0.979319137	1.010196778
ENSMUSG00000059554	0.972272206	1.040802259	1.011294775	1.032868234	1.035721905	1.022461981
ENSMUSG00000019851	1.057700632	0.807452502	1.096884642	1.011318859	1.073546384	1.132261375
ENSMUSG00000019850	1.038111297	1.033783515	1.031660411	1.00367349	0.999290987	0.989621021
ENSMUSG00000020009	1.000369057	0.950387802	0.987107551	0.993993903	0.991836383	1.000968932
ENSMUSG00000042940	1.011354067	0.992069475	0.950763023	1.006541975	0.91866958	0.948974059
ENSMUSG00000020007	0.967014952	0.973660831	0.973502186	0.978866667	0.980691286	1.000842718
ENSMUSG00000020003	1.055698844	0.987813787	0.988607122	1.005370828	0.987174842	0.996131722
ENSMUSG00000071369	0.941175808	1.147075425	1.002179588	1.19093433	1.124871259	1.220614131
ENSMUSG00000071369	0.852813208	1.060532747	0.766735743	0.998238524	1.177488514	1.15683408
ENSMUSG00000069713	1.038635647	1.010257928	1.030185414	0.999786357	1.004905048	0.98880037
ENSMUSG00000019992	0.933668924	0.977848257	0.983344964	0.988612099	0.984348231	0.982942032
ENSMUSG00000092051	1.034951849	1.00138611	0.738622372	0.894271152	0.964720221	1.025342012
ENSMUSG00000019990	1.152467167	1.076075349	1.279474329	1.093444605	0.913938328	0.916488298
ENSMUSG00000019986	1.042529605	1.01885032	1.043338487	1.016880753	1.030537721	1.013886859
ENSMUSG00000019986	0.795435934	1.16859895	0.973956172	1.021514778	1.147629302	1.106963036
ENSMUSG00000019982	0.948365098	1.008179481	1.119302972	0.867078058	0.972103918	0.868624078
ENSMUSG00000019982	0.934303146	0.786235058	1.059078855	0.807268438	0.87404261	0.70537464
